0.0048	6.5536	0.0001	0.0512
0.0088	22.09	0.0001	0.094
0.012	40.8321	0.0001	0.1278
0.0166	78.1456	0.0001	0.1768
0.022	134.56	0.0001	0.232
0.0279	214.0369	0.0001	0.2926
0.0335	302.76	0.0001	0.348
0.0392	408.04	0.0001	0.404
0.0454	531.7636	0.0001	0.4612
0.0503	638.0676	0.0001	0.5052
0.0564	780.0849	0.0001	0.5586
0.0622	919.9089	0.0001	0.6066
0.0687	1084.3849	0.0001	0.6586
0.0756	1262.3809	0.0001	0.7106
0.093	1705.69	0.0001	8.26
0.1054	2007.04	0.0001	8.96
0.1174	2294.41	0.0001	9.58
0.1398	2777.29	0.0001	10.54
0.1726	3340.84	0.0001	11.56
0.2143	3893.76	0.0001	12.48
0.2713	4462.24	0.0001	13.36
0.331	5012.64	0.0001	14.16
0.3891	5610.01	0.0001	14.98
0.457	6272.64	0.001	15.84
0.52	6972.25	0.001	16.7
0.58	7656.25	0.001	17.5
0.651	8482.41	0.001	18.42
0.729	9428.41	0.001	19.42
0.81	10424.41	0.001	20.42
0.878	11278.44	0.001	21.24
0.55	7327.36	0.001	17.12
0.914	11772.25	0.001	21.7
1.268	16358.41	0.001	25.58
1.666	21756.25	0.001	29.5
2.106	27955.84	0.001	33.44
2.57	34707.69	0.001	37.26
3	41127.84	0.001	40.56
3.48	48356.01	0.01	43.98
3.88	54662.44	0.01	46.76
4.32	61901.44	0.01	49.76
4.68	67132.81	0.01	51.82
5.16	74856.96	0.01	54.72
5.57	81339.04	0.01	57.04
5.97	87734.44	0.01	59.24
7.32	108900	0.01	6600
7.93	122500	0.01	7000
8.43	129600	0.01	7200
9.02	136900	0.01	7400
9.55	144400	0.01	7600
9.95	152100	0.01	7800
10.47	160000	0.01	8000
10.9	168100	0.01	8200
11.4	176400	0.01	8400
11.9	184900	0.01	8600
12.51	193600	0.01	8800
12.93	202500	0.01	9000
13.38	211600	0.01	9200
13.89	220900	0.01	9400
14.39	230400	0.01	9600
14.93	230400	0.01	9600
15.22	230400	0.01	9600
15.56	240100	0.01	9800
15.87	230400	0.01	9600
16.23	230400	0.01	9600
16.54	220900	0.01	9400
16.8	220900	0.01	9400
16.89	0       0       0
