0.0048	0.00256 0.0001  0.00001
0.0088	0.0047   
0.012	0.00639 
0.0166	0.00884 0.0001  0.00001
0.022	0.0116  
0.0279	0.01463 
0.0335	0.0174  0.0001 0.00001
0.0392	0.0202  
0.0454	0.02306 
0.0503	0.02526 0.0001 0.00001
0.0564	0.02793 
0.0622	0.03033 
0.0687	0.03293 0.0001 0.00001
0.0756	0.03553 
0.093	0.0413  0.0001 0.0001
0.1054	0.0448  
0.1174	0.0479  
0.1398	0.0527  
0.1726	0.0578  0.0001 0.0001
0.2143	0.0624  
0.2713	0.0668  
0.331	0.0708  0.0001 0.0001
0.3891	0.0749  
0.457	0.0792  0.001 0.0001
0.52	0.0835  
0.58	0.0875  
0.651	0.0921  0.001 0.0001
0.729	0.0971  
0.81	0.1021  
0.878	0.1062  0.001 0.0001
	
0.55	0.0856  0.001 0.0001
0.914	0.1085  0.001 0.0001
1.268	0.1279  0.001 0.0001
1.666	0.1475  0.001 0.0001
2.106	0.1672  0.001 0.0001
2.57	0.1863  0.001 0.0001
3	0.2028  0.001 0.0001
3.48	0.2199  0.01 0.0001
3.88	0.2338  0.01 0.0001
4.32	0.2488  0.01 0.0001
4.68	0.2591  0.01 0.0001
5.16	0.2736  0.01 0.0001
5.57	0.2852  0.01 0.0001
5.97	0.2962  0.01 0.0001
7.32	0.33    0.01 0.001
7.93	0.35    0.01 0.001
8.43	0.36    0.01 0.001
9.02	0.37    0.01 0.001
9.55	0.38    0.01 0.001
9.95	0.39    0.01 0.001
10.47	0.4     0.01 0.001
10.9	0.41    0.01  0.001
11.4	0.42    0.01 0.001
11.9	0.43    0.01 0.001
12.51	0.44    0.01 0.001
12.93	0.45    0.01 0.001
13.38	0.46    0.01 0.001
13.89	0.47    0.01 0.001
14.39	0.48    0.01 0.001
14.93	0.48    0.01 0.001
15.22	0.48    0.01 0.001
15.56	0.49    0.01 0.001
15.87	0.48    0.01 0.001
16.23	0.48    0.01 0.001
16.54	0.47    0.01 0.001
16.8	0.47    0.01 0.001
16.89	0       0.01
