0.0048	0.00256 0.0001  0.00001
0.0088	0.0047  0.0001  0.00001 
0.012	0.00639    0.0001  0.00001
0.0166	0.00884 0.0001  0.00001
0.022	0.0116     0.0001  0.00001
0.0279	0.01463 0.0001  0.00001
0.0335	0.0174  0.0001  0.00001
0.0392	0.0202  0.0001  0.00001
0.0454	0.02306 0.0001  0.00001
0.0503	0.02526 0.0001  0.00001
0.0564	0.02793 0.0001  0.00001
0.0622	0.03033 0.0001  0.00001
0.0687	0.03293 0.0001  0.00001
0.0756	0.03553 0.0001  0.00001
0.093	0.0413     0.0001  0.0001
0.1054	0.0448  0.0001  0.0001
0.1174	0.0479  0.0001  0.0001
0.1398	0.0527  0.0001  0.0001
0.1726	0.0578  0.0001  0.0001
0.2143	0.0624  0.0001  0.0001
0.2713	0.0668  0.0001  0.0001
0.331	0.0708     0.0001  0.0001
0.3891	0.0749  0.0001  0.0001
